Index,dt,customer_type,trigger_type,n_triggered
12580,09/11/22,1,scheduled,5377
12581,09/11/22,0,scheduled,5270
12582,09/11/22,2,scheduled,1031
12583,09/11/22,3,scheduled,31
12676,10/11/22,1,scheduled,5225
12677,10/11/22,0,scheduled,5645
12678,10/11/22,2,scheduled,1043
12679,10/11/22,3,scheduled,34
12772,11/11/22,1,scheduled,5171
12773,11/11/22,0,scheduled,5531
12774,11/11/22,2,scheduled,1093
12775,11/11/22,3,scheduled,35
12868,12/11/22,1,scheduled,5497
12869,12/11/22,0,scheduled,5258
12870,12/11/22,2,scheduled,1107
12871,12/11/22,3,scheduled,38
12964,13/11/22,1,scheduled,5136
12965,13/11/22,0,scheduled,5014
12966,13/11/22,2,scheduled,1094
12967,13/11/22,3,scheduled,36
13060,14/11/22,1,scheduled,5397
13061,14/11/22,0,scheduled,5319
13062,14/11/22,2,scheduled,1082
13063,14/11/22,3,scheduled,37
13156,15/11/22,1,scheduled,5419
13157,15/11/22,0,scheduled,5499
13158,15/11/22,2,scheduled,1066
13159,15/11/22,3,scheduled,40
13252,16/11/22,1,scheduled,5613
13253,16/11/22,0,scheduled,5330
13254,16/11/22,2,scheduled,1073
13255,16/11/22,3,scheduled,39
13348,17/11/22,1,scheduled,5530
13349,17/11/22,0,scheduled,5727
13350,17/11/22,2,scheduled,1043
13351,17/11/22,3,scheduled,40
13444,18/11/22,1,scheduled,5492
13445,18/11/22,0,scheduled,5279
13446,18/11/22,2,scheduled,1103
13447,18/11/22,3,scheduled,41
13540,19/11/22,1,scheduled,5087
13541,19/11/22,0,scheduled,5383
13542,19/11/22,2,scheduled,1075
13543,19/11/22,3,scheduled,39
13636,20/11/22,1,scheduled,5154
13637,20/11/22,0,scheduled,5328
13638,20/11/22,2,scheduled,1004
13639,20/11/22,3,scheduled,43
13732,21/11/22,1,scheduled,5379
13733,21/11/22,0,scheduled,5201
13734,21/11/22,2,scheduled,1020
13735,21/11/22,3,scheduled,44
13828,22/11/22,1,scheduled,5486
13829,22/11/22,0,scheduled,5867
13830,22/11/22,2,scheduled,1027
13831,22/11/22,3,scheduled,43
13924,23/11/22,1,scheduled,5575
13925,23/11/22,0,scheduled,5332
13926,23/11/22,2,scheduled,1040
13927,23/11/22,3,scheduled,44
14020,24/11/22,1,scheduled,5335
14021,24/11/22,0,scheduled,5217
14022,24/11/22,2,scheduled,1121
14023,24/11/22,3,scheduled,35
14116,25/11/22,1,scheduled,4908
14117,25/11/22,0,scheduled,4788
14118,25/11/22,2,scheduled,1007
14119,25/11/22,3,scheduled,37
14212,26/11/22,1,scheduled,5202
14213,26/11/22,0,scheduled,5108
14214,26/11/22,2,scheduled,1050
14215,26/11/22,3,scheduled,43
14308,27/11/22,1,scheduled,4783
14309,27/11/22,0,scheduled,5186
14310,27/11/22,2,scheduled,1071
14311,27/11/22,3,scheduled,39
14404,28/11/22,1,scheduled,4973
14405,28/11/22,0,scheduled,4787
14406,28/11/22,2,scheduled,1069
14407,28/11/22,3,scheduled,37
14500,29/11/22,1,scheduled,5512
14501,29/11/22,0,scheduled,5566
14502,29/11/22,2,scheduled,1115
14503,29/11/22,3,scheduled,39
14596,30/11/22,1,scheduled,5620
14597,30/11/22,0,scheduled,5318
14598,30/11/22,2,scheduled,1088
14599,30/11/22,3,scheduled,46
14692,01/12/22,1,scheduled,5505
14693,01/12/22,0,scheduled,5651
14694,01/12/22,2,scheduled,1100
14695,01/12/22,3,scheduled,43
14788,02/12/22,1,scheduled,5563
14789,02/12/22,0,scheduled,5575
14790,02/12/22,2,scheduled,1157
14791,02/12/22,3,scheduled,37
14884,03/12/22,1,scheduled,5807
14885,03/12/22,0,scheduled,5768
14886,03/12/22,2,scheduled,1075
14887,03/12/22,3,scheduled,35
14980,04/12/22,1,scheduled,5308
14981,04/12/22,0,scheduled,4944
14982,04/12/22,2,scheduled,1057
14983,04/12/22,3,scheduled,33
15076,05/12/22,1,scheduled,5559
15077,05/12/22,0,scheduled,5191
15078,05/12/22,2,scheduled,944
15079,05/12/22,3,scheduled,30
15172,06/12/22,1,scheduled,5320
15173,06/12/22,0,scheduled,5440
15174,06/12/22,2,scheduled,1186
15175,06/12/22,3,scheduled,39
15268,07/12/22,1,scheduled,5887
15269,07/12/22,0,scheduled,5583
15270,07/12/22,2,scheduled,1166
15271,07/12/22,3,scheduled,42
15364,08/12/22,1,scheduled,5826
15365,08/12/22,0,scheduled,5708
15366,08/12/22,2,scheduled,1148
15367,08/12/22,3,scheduled,46
15460,09/12/22,1,scheduled,5679
15461,09/12/22,0,scheduled,5876
15462,09/12/22,2,scheduled,1252
15463,09/12/22,3,scheduled,46
